endpoint,endpoint_id,scorer,auroc,auprc,auroc_ci_lo,auroc_ci_hi,n_pos,n_eval
E5 historical clinical-target concordance,E5,Elastic net,0.89932,0.16785,0.810439,0.969988,35,20751
E5 historical clinical-target concordance,E5,Random forest,0.941788,0.249922,0.884084,0.990744,35,20751
E6 PDAC drug-response actionability,E6,Mutation frequency,0.566552,0.002333,0.46016,0.671444,32,20751
E6 PDAC drug-response actionability,E6,Genetic constraint,0.370632,0.001138,0.308746,0.433916,32,20751
E6 PDAC drug-response actionability,E6,Cancer-driver annotation,0.63493,0.01144,0.560055,0.714948,32,20751
E6 PDAC drug-response actionability,E6,Druggability,0.780488,0.006917,0.680494,0.863186,32,20751
E6 PDAC drug-response actionability,E6,STRING centrality,0.910324,0.027177,0.84067,0.961723,32,20751
E6 PDAC drug-response actionability,E6,Arithmetic mean,0.731892,0.051487,0.624728,0.831143,32,20751
E6 PDAC drug-response actionability,E6,Rank aggregation,0.78563,0.012703,0.690944,0.869511,32,20751
E6 PDAC drug-response actionability,E6,Weighted rank aggregation,0.905836,0.10547,0.848253,0.956423,32,20751
E6 PDAC drug-response actionability,E6,ECS (multiplicative),0.704801,0.003839,0.600335,0.795904,32,20751
E6 PDAC drug-response actionability,E6,Harmonic mean,0.845582,0.077885,0.764081,0.91641,32,20751
E6 PDAC drug-response actionability,E6,Logistic regression,0.909754,0.021193,0.844247,0.957003,32,20751
E6 PDAC drug-response actionability,E6,Elastic net,0.48123,0.00148,0.386826,0.567365,32,20751
E6 PDAC drug-response actionability,E6,Random forest,0.913446,0.016956,0.853638,0.960759,32,20751
